Quantity,Reference Designator,Model
1,R1A,"1.5k ohm, 0603, 5%"
1,R2A,"3.3k ohm, 0603, 5%"
3,"R4A, R5M, JP2","0 ohm, 0603"
1,C1A,"4.7nF, 0603, C0G, 10%"
1,C2A,"2.2nF, 0603, C0G, 10%"
1,C9A,"100nF, 0603, X7R, 20%"
1,C101M,"10µF, 6032, tantalum, 20%"
1,U1A,"ADA4898-1, SOIC EP"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
3,"J2M, J3M, J4M","65474-010LF, 0.1"" jumper"
1,J1A,"BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
